iter	Logloss
0	0.6374729809
1	0.592352298
2	0.5746836839
3	0.5584373983
4	0.5422243173
5	0.5338548807
6	0.5267481483
7	0.5212486716
8	0.5152821207
9	0.5116448333
10	0.5090306053
11	0.5053742396
12	0.5039963651
13	0.502509274
14	0.5012107115
15	0.5003523022
16	0.4985234566
17	0.4978845581
18	0.495706524
19	0.4950919877
20	0.4947922372
21	0.4945159535
22	0.4936835586
23	0.4933294273
24	0.4931100311
25	0.4929072973
26	0.4927684104
27	0.4925614009
28	0.491781681
29	0.4915111494
30	0.491399557
31	0.4913118169
32	0.4911156692
33	0.4909312257
34	0.490815492
35	0.4906871835
36	0.4905924667
37	0.4904655703
38	0.490298431
39	0.4902099358
40	0.4900968555
41	0.4899429509
42	0.4898352529
43	0.4897029949
44	0.4896354198
45	0.4895597256
46	0.4894050105
47	0.4893197559
48	0.4892412893
49	0.4891882966
50	0.489100018
51	0.4890157464
52	0.4889758902
53	0.4889357402
54	0.4885519236
55	0.4885098038
56	0.4884652744
57	0.4884273968
58	0.488391001
59	0.488328732
60	0.4882927644
61	0.4882372556
62	0.4881802265
63	0.4881338198
64	0.4880980823
65	0.4880610218
66	0.4880197974
67	0.4879819552
68	0.4879411767
69	0.4878623208
70	0.487813621
71	0.4877431902
72	0.4875611135
73	0.4875219029
74	0.4874874399
75	0.4874532113
76	0.487411129
77	0.4873109666
78	0.4872763886
79	0.4872346992
80	0.4871881161
81	0.4871521598
82	0.4871165261
83	0.4870798627
84	0.4870575187
85	0.4870071254
86	0.4869786719
87	0.4869431216
88	0.4869147518
89	0.4868858348
90	0.4868519323
91	0.4868390618
92	0.4868124129
93	0.4867906835
94	0.4867179078
95	0.486691486
96	0.4866624878
97	0.4866360292
98	0.4866133198
99	0.4865857286
100	0.4865630436
101	0.4865079968
102	0.4864671435
103	0.4864458807
104	0.4864000644
105	0.4863769947
106	0.4863136839
107	0.4862747183
108	0.4862446411
109	0.4861989344
110	0.4861790563
111	0.4861387864
112	0.4861110095
113	0.4860648839
114	0.4860336469
115	0.4860027819
116	0.4859709186
117	0.4859279183
118	0.4858803709
119	0.4858459832
120	0.4858015575
121	0.4857591242
122	0.4857252694
123	0.4857051376
124	0.485677194
125	0.4856466661
126	0.4856124275
127	0.4855938444
128	0.4855651393
129	0.4855382409
130	0.4854882266
131	0.4854476856
132	0.4854095244
133	0.4853760065
134	0.4853467928
135	0.4853067713
136	0.4852690138
137	0.4852296471
138	0.4851888839
139	0.4851516551
140	0.4851481967
141	0.4851023908
142	0.485070783
143	0.485050527
144	0.4850192753
145	0.4849853616
146	0.484931028
147	0.4849125064
148	0.4848829186
149	0.4848817853
150	0.4848427158
151	0.4848414288
152	0.4848073801
153	0.484770191
154	0.4847278418
155	0.484685284
156	0.4846483901
157	0.4846180459
158	0.4845836436
159	0.4845529295
160	0.4844995
161	0.484460599
162	0.4844299262
163	0.4843977551
164	0.4843713546
165	0.4843407115
166	0.4843137405
167	0.4842763642
168	0.4842443913
169	0.4842026699
170	0.4841736595
171	0.4841386177
172	0.484109445
173	0.4840802055
174	0.4840790803
175	0.4840748013
176	0.484041754
177	0.4840054365
178	0.4839764638
179	0.4839335828
180	0.4839313951
181	0.4839047506
182	0.4838801307
183	0.4838404453
184	0.4837994674
185	0.4837574693
186	0.4837144026
187	0.4836856009
188	0.4836574952
189	0.48361658
190	0.483584787
191	0.4835565663
192	0.4835310791
193	0.4834980971
194	0.4834667882
195	0.4834391873
196	0.4834338239
197	0.4834292002
198	0.4834120219
199	0.4833752556
200	0.4833383257
201	0.4833024972
202	0.483276034
203	0.4832539391
204	0.4832243173
205	0.4831971951
206	0.4831707135
207	0.4831509776
208	0.4831274282
209	0.4831260786
210	0.4830975308
211	0.4830681517
212	0.4830367466
213	0.483011063
214	0.4829728929
215	0.4829481807
216	0.4829144125
217	0.4828841777
218	0.482846498
219	0.4828159575
220	0.4827855101
221	0.4827647343
222	0.4827333447
223	0.4826919572
224	0.4826741597
225	0.4826468812
226	0.4826256067
227	0.4825957352
228	0.4825750012
229	0.4825471303
230	0.4825201234
231	0.4825027179
232	0.4824824381
233	0.4824511155
234	0.4824218114
235	0.4824003513
236	0.4823758576
237	0.4823495458
238	0.4823347281
239	0.4823182016
240	0.4822909593
241	0.4822643214
242	0.4822444006
243	0.4822195088
244	0.4822186285
245	0.4822061577
246	0.4821792379
247	0.4821447919
248	0.4821281294
249	0.4821065879
250	0.4820804826
251	0.4820481099
252	0.4820207067
253	0.4820190485
254	0.4819974911
255	0.4819762203
256	0.4819497047
257	0.4819113299
258	0.4818759191
