iter	Passed	Remaining
0	18	18947
1	35	17605
2	50	16846
3	64	15996
4	79	15806
5	93	15491
6	108	15342
7	122	15132
8	137	15115
9	151	14979
10	166	14991
11	181	14940
12	197	14994
13	213	15003
14	228	15023
15	243	14968
16	258	14929
17	272	14888
18	287	14838
19	302	14839
20	315	14694
21	330	14701
22	345	14695
23	359	14639
24	372	14540
25	387	14501
26	401	14458
27	416	14441
28	429	14383
29	442	14319
30	455	14244
31	468	14159
32	479	14053
33	492	13987
34	504	13918
35	516	13836
36	529	13785
37	542	13723
38	554	13667
39	567	13611
40	579	13564
41	594	13550
42	607	13528
43	622	13530
44	635	13494
45	649	13473
46	662	13425
47	676	13419
48	690	13394
49	702	13345
50	715	13319
51	729	13304
52	742	13273
53	755	13232
54	769	13229
55	782	13193
56	796	13171
57	809	13139
58	822	13121
59	836	13106
60	847	13050
61	861	13035
62	874	13009
63	888	12989
64	902	12975
65	915	12954
66	928	12936
67	943	12929
68	956	12900
69	968	12867
70	981	12836
71	993	12802
72	1004	12758
73	1017	12729
74	1030	12713
75	1044	12694
76	1056	12668
77	1069	12636
78	1082	12622
79	1095	12595
80	1109	12583
81	1122	12562
82	1135	12540
83	1147	12515
84	1161	12504
85	1175	12497
86	1189	12483
87	1203	12476
88	1217	12462
89	1231	12453
90	1244	12426
91	1256	12397
92	1268	12368
93	1279	12334
94	1292	12316
95	1306	12301
96	1319	12285
97	1333	12270
98	1346	12258
99	1359	12234
100	1372	12213
101	1386	12202
102	1399	12191
103	1412	12166
104	1425	12151
105	1438	12130
106	1451	12114
107	1464	12099
108	1478	12087
109	1493	12083
110	1506	12062
111	1519	12050
112	1532	12028
113	1546	12020
114	1560	12010
115	1573	11993
116	1587	11980
117	1601	11968
118	1614	11951
119	1627	11932
120	1640	11919
121	1655	11912
122	1668	11897
123	1681	11881
124	1696	11872
125	1709	11855
126	1723	11844
127	1735	11823
128	1749	11813
129	1762	11792
130	1776	11782
131	1789	11768
132	1804	11763
133	1817	11746
134	1830	11730
135	1843	11713
136	1856	11695
137	1870	11685
138	1883	11668
139	1898	11659
140	1908	11627
141	1921	11609
142	1933	11587
143	1946	11568
144	1959	11554
145	1973	11543
146	1988	11537
147	2001	11524
148	2015	11509
149	2025	11477
150	2038	11460
151	2049	11432
152	2061	11412
153	2073	11393
154	2086	11372
155	2097	11348
156	2110	11331
157	2123	11315
158	2137	11304
159	2151	11295
160	2166	11291
161	2181	11282
162	2194	11266
163	2208	11255
164	2222	11248
165	2236	11238
166	2250	11226
167	2264	11216
168	2278	11202
169	2291	11185
170	2304	11172
171	2318	11160
172	2330	11141
173	2343	11124
174	2354	11100
175	2365	11076
176	2380	11067
177	2395	11061
178	2408	11045
179	2423	11040
180	2434	11013
181	2446	10997
182	2459	10980
183	2472	10965
184	2485	10949
185	2499	10936
186	2513	10928
187	2526	10913
188	2540	10899
189	2554	10888
190	2568	10878
191	2582	10867
192	2596	10855
193	2609	10841
194	2622	10824
195	2634	10806
196	2645	10781
197	2655	10754
198	2666	10734
199	2680	10720
200	2695	10715
201	2709	10704
202	2722	10690
203	2734	10671
204	2749	10660
205	2763	10649
206	2777	10639
207	2789	10622
208	2803	10611
209	2815	10590
210	2828	10578
211	2842	10565
212	2855	10551
213	2869	10538
214	2883	10528
215	2896	10512
216	2909	10499
217	2924	10489
218	2938	10478
219	2952	10467
220	2965	10453
221	2979	10442
222	2992	10428
223	3006	10414
224	3019	10400
225	3033	10389
226	3046	10375
227	3060	10363
228	3072	10346
229	3085	10330
230	3100	10320
231	3113	10307
232	3126	10292
233	3139	10276
234	3152	10263
235	3166	10250
236	3180	10239
237	3193	10225
238	3207	10212
239	3221	10200
240	3236	10191
241	3249	10179
242	3264	10169
243	3278	10157
244	3289	10137
245	3301	10118
246	3315	10107
247	3329	10095
248	3343	10083
249	3357	10071
250	3370	10056
251	3383	10044
252	3397	10030
253	3408	10009
254	3420	9993
255	3432	9975
256	3447	9965
257	3462	9956
258	3475	9944
259	3488	9929
260	3502	9917
261	3517	9908
262	3531	9897
263	3545	9885
264	3559	9873
265	3573	9860
266	3586	9845
267	3599	9831
268	3612	9818
269	3625	9801
270	3637	9785
271	3649	9768
272	3663	9756
273	3677	9743
274	3690	9729
275	3703	9715
276	3716	9700
277	3729	9686
278	3742	9671
279	3756	9659
280	3770	9647
281	3783	9634
282	3798	9623
283	3811	9608
284	3823	9593
285	3834	9571
286	3847	9557
287	3860	9543
288	3873	9529
289	3886	9515
290	3900	9502
291	3914	9491
292	3927	9476
293	3939	9461
294	3954	9449
295	3967	9437
296	3981	9423
297	3995	9413
298	4009	9399
299	4021	9382
300	4033	9366
301	4045	9351
302	4060	9339
303	4073	9325
304	4086	9312
305	4099	9298
306	4113	9285
307	4126	9270
308	4140	9259
309	4152	9243
310	4166	9231
311	4179	9216
312	4190	9196
313	4199	9175
314	4212	9160
315	4224	9144
316	4236	9128
317	4250	9116
318	4263	9100
319	4275	9084
320	4288	9070
321	4302	9059
322	4317	9048
323	4330	9035
324	4343	9020
325	4356	9006
326	4368	8990
327	4381	8976
328	4394	8962
329	4406	8946
330	4417	8929
331	4430	8914
332	4443	8900
333	4454	8882
334	4465	8865
335	4476	8846
336	4488	8830
337	4500	8814
338	4512	8798
339	4523	8781
340	4535	8765
341	4548	8750
342	4560	8736
343	4574	8722
344	4587	8708
345	4599	8694
346	4612	8679
347	4623	8662
348	4635	8646
349	4647	8631
350	4660	8616
351	4672	8601
352	4685	8588
353	4698	8573
354	4711	8561
355	4723	8544
356	4735	8529
357	4749	8517
358	4761	8501
359	4773	8486
360	4786	8472
361	4799	8458
362	4810	8442
363	4824	8428
364	4836	8413
365	4849	8399
366	4862	8386
367	4874	8370
368	4885	8354
369	4896	8337
370	4909	8323
371	4920	8307
372	4932	8291
373	4944	8276
374	4955	8258
375	4967	8243
376	4978	8227
377	4989	8210
378	5001	8194
379	5010	8175
380	5023	8161
381	5034	8144
382	5046	8130
383	5059	8116
384	5072	8102
385	5084	8088
386	5097	8074
387	5110	8060
388	5122	8045
389	5135	8033
390	5144	8012
391	5155	7995
392	5166	7980
393	5180	7967
394	5194	7955
395	5207	7942
396	5220	7929
397	5233	7915
398	5245	7901
399	5260	7890
400	5271	7873
401	5284	7861
402	5296	7846
403	5310	7833
404	5323	7820
405	5335	7806
406	5347	7791
407	5361	7778
408	5373	7764
409	5386	7751
410	5398	7736
411	5410	7722
412	5423	7709
413	5436	7695
414	5450	7682
415	5463	7669
416	5474	7654
